Name,City,Latitude,Longitude,Group,Value
"AL","Alabama",33.0096025774613,-86.8959480810827,"Slight",2
"AL","Alabama",33.0096025774613,-86.8959480810827,"Medium",7525
"AL","Alabama",33.0096025774613,-86.8959480810827,"Serious",2471
"AL","Alabama",33.0096025774613,-86.8959480810827,"Fatal",150
"AR","Arkansas",34.9032386956904,-92.3054924452507,"Medium",516
"AR","Arkansas",34.9032386956904,-92.3054924452507,"Serious",227
"AR","Arkansas",34.9032386956904,-92.3054924452507,"Fatal",182
"AZ","Arizona",33.2814071741025,-111.807817474636,"Slight",3
"AZ","Arizona",33.2814071741025,-111.807817474636,"Medium",10400
"AZ","Arizona",33.2814071741025,-111.807817474636,"Serious",2379
"AZ","Arizona",33.2814071741025,-111.807817474636,"Fatal",851
"CA","California",35.5695149429485,-119.487669719681,"Slight",9
"CA","California",35.5695149429485,-119.487669719681,"Medium",140611
"CA","California",35.5695149429485,-119.487669719681,"Serious",26024
"CA","California",35.5695149429485,-119.487669719681,"Fatal",1882
"CO","Colorado",39.5701572815428,-105.020594680734,"Slight",1
"CO","Colorado",39.5701572815428,-105.020594680734,"Medium",4254
"CO","Colorado",39.5701572815428,-105.020594680734,"Serious",6455
"CO","Colorado",39.5701572815428,-105.020594680734,"Fatal",1210
"CT","Connecticut",41.4793006466823,-72.8969788035311,"Slight",2
"CT","Connecticut",41.4793006466823,-72.8969788035311,"Medium",1764
"CT","Connecticut",41.4793006466823,-72.8969788035311,"Serious",1426
"CT","Connecticut",41.4793006466823,-72.8969788035311,"Fatal",396
"DE","Delaware",39.5933225325301,-75.5896560580504,"Medium",709
"DE","Delaware",39.5933225325301,-75.5896560580504,"Serious",62
"DE","Delaware",39.5933225325301,-75.5896560580504,"Fatal",137
"FL","Florida",27.588172717162,-81.4907573383903,"Slight",9
"FL","Florida",27.588172717162,-81.4907573383903,"Medium",21888
"FL","Florida",27.588172717162,-81.4907573383903,"Serious",10717
