Name,City,Latitude,Longitude,Group,Value
"AL","Alabama",33.0096025774613,-86.8959480810827,"Slight",7
"AL","Alabama",33.0096025774613,-86.8959480810827,"Medium",4529
"AL","Alabama",33.0096025774613,-86.8959480810827,"Serious",2857
"AL","Alabama",33.0096025774613,-86.8959480810827,"Fatal",151
"AR","Arkansas",34.9032386956904,-92.3054924452507,"Medium",201
"AR","Arkansas",34.9032386956904,-92.3054924452507,"Serious",98
"AR","Arkansas",34.9032386956904,-92.3054924452507,"Fatal",192
"AZ","Arizona",33.2814071741025,-111.807817474636,"Slight",2
"AZ","Arizona",33.2814071741025,-111.807817474636,"Medium",9479
"AZ","Arizona",33.2814071741025,-111.807817474636,"Serious",2803
"AZ","Arizona",33.2814071741025,-111.807817474636,"Fatal",854
"CA","California",35.5695149429485,-119.487669719681,"Slight",23
"CA","California",35.5695149429485,-119.487669719681,"Medium",63912
"CA","California",35.5695149429485,-119.487669719681,"Serious",33351
"CA","California",35.5695149429485,-119.487669719681,"Fatal",1576
"CO","Colorado",39.5701572815428,-105.020594680734,"Slight",1
"CO","Colorado",39.5701572815428,-105.020594680734,"Medium",4842
"CO","Colorado",39.5701572815428,-105.020594680734,"Serious",3344
"CO","Colorado",39.5701572815428,-105.020594680734,"Fatal",794
"CT","Connecticut",41.4793006466823,-72.8969788035311,"Slight",4
"CT","Connecticut",41.4793006466823,-72.8969788035311,"Medium",1986
"CT","Connecticut",41.4793006466823,-72.8969788035311,"Serious",1837
"CT","Connecticut",41.4793006466823,-72.8969788035311,"Fatal",451
"DE","Delaware",39.5933225325301,-75.5896560580504,"Slight",1
"DE","Delaware",39.5933225325301,-75.5896560580504,"Medium",742
"DE","Delaware",39.5933225325301,-75.5896560580504,"Serious",113
"DE","Delaware",39.5933225325301,-75.5896560580504,"Fatal",168
"FL","Florida",27.588172717162,-81.4907573383903,"Slight",8
"FL","Florida",27.588172717162,-81.4907573383903,"Medium",24790
"FL","Florida",27.588172717162,-81.4907573383903,"Serious",13181
"FL","Florida",27.588172717162,-81.4907573383903,"Fatal",2040
"GA","Georgia",33.6046790617676,-84.012314620205,"Slight",4
"GA","Georgia",33.6046790617676,-84.012314620205,"Medium",6354
"GA","Georgia",33.6046790617676,-84.012314620205,"Serious",7298
"GA","Georgia",33.6046790617676,-84.012314620205,"Fatal",1968
"IA","Iowa",41.736603329916,-93.426426630385,"Medium",601
"IA","Iowa",41.736603329916,-93.426426630385,"Serious",675
"IA","Iowa",41.736603329916,-93.426426630385,"Fatal",77
"ID","Idaho",44.1099698640898,-115.525314149377,"Medium",364
"ID","Idaho",44.1099698640898,-115.525314149377,"Serious",24
"ID","Idaho",44.1099698640898,-115.525314149377,"Fatal",1
"IL","Illinois",41.8543814695795,-88.0144345888154,"Slight",3
"IL","Illinois",41.8543814695795,-88.0144345888154,"Medium",9958
"IL","Illinois",41.8543814695795,-88.0144345888154,"Serious",5248
"IL","Illinois",41.8543814695795,-88.0144345888154,"Fatal",779
"IN","Indiana",39.9469523851827,-86.2183123234991,"Slight",4
"IN","Indiana",39.9469523851827,-86.2183123234991,"Medium",5047
"IN","Indiana",39.9469523851827,-86.2183123234991,"Serious",2041
"IN","Indiana",39.9469523851827,-86.2183123234991,"Fatal",692
"KS","Kansas",38.871673674367,-95.0336432572537,"Medium",806
"KS","Kansas",38.871673674367,-95.0336432572537,"Serious",810
"KS","Kansas",38.871673674367,-95.0336432572537,"Fatal",102
"KY","Kentucky",38.3611586877473,-85.2213688948167,"Medium",2116
"KY","Kentucky",38.3611586877473,-85.2213688948167,"Serious",2283
"KY","Kentucky",38.3611586877473,-85.2213688948167,"Fatal",172
"LA","Louisiana",30.5503656126902,-91.3440363456186,"Slight",5
"LA","Louisiana",30.5503656126902,-91.3440363456186,"Medium",8463
"LA","Louisiana",30.5503656126902,-91.3440363456186,"Serious",2141
"LA","Louisiana",30.5503656126902,-91.3440363456186,"Fatal",282
"MA","Massachusetts",42.3453146052085,-71.233845788862,"Slight",3
"MA","Massachusetts",42.3453146052085,-71.233845788862,"Medium",3034
"MA","Massachusetts",42.3453146052085,-71.233845788862,"Serious",2074
"MA","Massachusetts",42.3453146052085,-71.233845788862,"Fatal",81
"MD","Maryland",39.1599553606917,-76.8799177102289,"Slight",2
"MD","Maryland",39.1599553606917,-76.8799177102289,"Medium",3336
"MD","Maryland",39.1599553606917,-76.8799177102289,"Serious",2851
"MD","Maryland",39.1599553606917,-76.8799177102289,"Fatal",1226
"ME","Maine",43.9782145069476,-70.0109325571493,"Medium",678
"ME","Maine",43.9782145069476,-70.0109325571493,"Serious",7
"ME","Maine",43.9782145069476,-70.0109325571493,"Fatal",2
"MI","Michigan",42.6987027767825,-83.9346043598308,"Slight",8
"MI","Michigan",42.6987027767825,-83.9346043598308,"Medium",8449
"MI","Michigan",42.6987027767825,-83.9346043598308,"Serious",5040
"MI","Michigan",42.6987027767825,-83.9346043598308,"Fatal",1375
"MN","Minnesota",45.0342068342144,-93.4098704663681,"Medium",4964
"MN","Minnesota",45.0342068342144,-93.4098704663681,"Serious",6157
"MN","Minnesota",45.0342068342144,-93.4098704663681,"Fatal",86
"MO","Missouri",38.6934494762432,-92.299036437761,"Slight",1
"MO","Missouri",38.6934494762432,-92.299036437761,"Medium",2454
"MO","Missouri",38.6934494762432,-92.299036437761,"Serious",2993
"MO","Missouri",38.6934494762432,-92.299036437761,"Fatal",470
"MS","Mississippi",32.0844184179754,-89.7114316891201,"Medium",832
"MS","Mississippi",32.0844184179754,-89.7114316891201,"Serious",565
