Name,City,Latitude,Longitude,Group,Value
"AL","Alabama",33.0096025774613,-86.8959480810827,"Slight",126
"AL","Alabama",33.0096025774613,-86.8959480810827,"Medium",24026
"AL","Alabama",33.0096025774613,-86.8959480810827,"Serious",8421
"AL","Alabama",33.0096025774613,-86.8959480810827,"Fatal",717
"AR","Arkansas",34.9032386956904,-92.3054924452507,"Slight",11
"AR","Arkansas",34.9032386956904,-92.3054924452507,"Medium",3598
"AR","Arkansas",34.9032386956904,-92.3054924452507,"Serious",417
"AR","Arkansas",34.9032386956904,-92.3054924452507,"Fatal",700
"AZ","Arizona",33.2814071741025,-111.807817474636,"Slight",6707
"AZ","Arizona",33.2814071741025,-111.807817474636,"Medium",43107
"AZ","Arizona",33.2814071741025,-111.807817474636,"Serious",8170
"AZ","Arizona",33.2814071741025,-111.807817474636,"Fatal",3723
"CA","California",35.5695149429485,-119.487669719681,"Slight",5683
"CA","California",35.5695149429485,-119.487669719681,"Medium",579890
"CA","California",35.5695149429485,-119.487669719681,"Serious",136563
"CA","California",35.5695149429485,-119.487669719681,"Fatal",8608
"CO","Colorado",39.5701572815428,-105.020594680734,"Slight",517
"CO","Colorado",39.5701572815428,-105.020594680734,"Medium",17358
"CO","Colorado",39.5701572815428,-105.020594680734,"Serious",15553
"CO","Colorado",39.5701572815428,-105.020594680734,"Fatal",3852
"CT","Connecticut",41.4793006466823,-72.8969788035311,"Slight",17
"CT","Connecticut",41.4793006466823,-72.8969788035311,"Medium",14067
"CT","Connecticut",41.4793006466823,-72.8969788035311,"Serious",7531
"CT","Connecticut",41.4793006466823,-72.8969788035311,"Fatal",2439
"DE","Delaware",39.5933225325301,-75.5896560580504,"Slight",8
"DE","Delaware",39.5933225325301,-75.5896560580504,"Medium",3217
"DE","Delaware",39.5933225325301,-75.5896560580504,"Serious",535
"DE","Delaware",39.5933225325301,-75.5896560580504,"Fatal",865
"FL","Florida",27.588172717162,-81.4907573383903,"Slight",2983
"FL","Florida",27.588172717162,-81.4907573383903,"Medium",200981
"FL","Florida",27.588172717162,-81.4907573383903,"Serious",50186
"FL","Florida",27.588172717162,-81.4907573383903,"Fatal",9150
"GA","Georgia",33.6046790617676,-84.012314620205,"Slight",394
"GA","Georgia",33.6046790617676,-84.012314620205,"Medium",32530
